country_1,country_2,t_statistic,p_value
Albania,Aruba,-15.147613637976564,1.1455844482224153e-43
Albania,Australia,3.8544779306783385,0.00012360307838705215
Albania,Austria,2.294821950759857,0.021952877612869553
Albania,Azerbaijan,-6.7319720794043905,2.8367811953476223e-11
Albania,"Bahamas, The",-5.248044886542922,1.88904854823202e-07
Albania,Bahrain,1.2432523045601809,0.21407131012691125
Albania,Bangladesh,-9.156213154149942,3.1021955206510383e-19
Albania,Barbados,-2.9457747146145365,0.0032975110678900707
Albania,Belarus,-4.109119305844644,4.307561336270017e-05
Albania,Belgium,1.3702047703176023,0.17093551436052357
Albania,Belize,-5.516722774003002,4.414269346303866e-08
Albania,Benin,-11.54785849181493,5.393466305056921e-29
Albania,Bermuda,-11.529592243228317,9.81101936880183e-28
Albania,Bhutan,-8.275494869651457,4.194182820538731e-16
Albania,Bolivia,-9.389989571108993,4.1397734303086054e-20
Albania,Bosnia and Herzegovina,-1.0562091694033027,0.29113564498436034
Albania,Botswana,-10.229701697830643,2.0813275981289065e-23
Albania,Brazil,-5.943462766743155,3.866569611568589e-09
Albania,British Virgin Islands,-4.932120569173326,1.0090785881948996e-06
Albania,Brunei Darussalam,-2.1177470917765784,0.03444650265235247
Albania,Bulgaria,-3.0224977557701935,0.002572227377994926
Albania,Burkina Faso,-13.1000260294901,3.2024977137156686e-36
Albania,Burundi,-10.908614174263052,3.249376586614799e-26
Albania,Cabo Verde,-5.919168782776328,4.461886936957975e-09
Albania,Cambodia,-9.57607810355824,8.057108257374681e-21
Albania,Cameroon,-11.613358216433443,2.7563535212780696e-29
Albania,Canada,2.486889351663221,0.013051704895299865
Albania,Cayman Islands,-17.49442628502027,5.8654037839709756e-55
Albania,Central African Republic,-10.997425627074882,1.366782179818996e-26
Albania,Chad,-10.194243248396635,2.97779357225692e-23
Albania,Channel Islands,-7.409091670250656,4.732582024658492e-13
Albania,Chile,-0.04522206274424372,0.9639394747584711
Albania,China,-3.500839929778331,0.00048464506184825977
Albania,Colombia,-4.6490832061778615,3.7876492766277793e-06
Albania,Comoros,-10.688243798184146,2.7761716299299875e-25
Albania,"Congo, Dem. Rep.",-11.938867290869311,9.408235343893307e-31
Albania,"Congo, Rep.",-10.681777967569296,2.936859139901393e-25
Albania,Costa Rica,-0.463621868988632,0.6430213208985482
Albania,Cote d'Ivoire,-11.91192008829144,1.2475800008520983e-30
